Ticker,Company,Sector,Country,Control,OwnershipVerified,MarketCapEUR,Score,ScoreDelta,Confidence,ValueScore,QualityScore,BalanceScore,GrowthScore,TechnicalScore,ActionabilityScore,UpsidePct,PB,PE,EV_EBITDA,PS,DivYield,ROE,NetMargin,DebtToEquity,RevGrowth,FCFYield,NetCashToMktCap,RelValue,Trend,RSI14,VolConfirm,ADV_EUR,DaysTo5pct,NextEarnings,PctFromHigh,Ret12m,Support,Resistance,Flags,TechRead,Thesis
FP.RO,Fondul Proprietatea SA,Financial Services,Romania,Widely held (closed-end fund),2026-07-24,"342,175,767.39",4.41,0.15,High,4.5,4.7,,,4.5,4.0,151.4%,0.77,4.34,n/a,3.74,7.5%,19.7%,92.2%,n/a,n/a,15.4%,130.8%,5.00,Uptrend,41.35,yes,"250,605.92",341.35,,-14.7%,60.8%,0.49,0.71,Closed-end fund — P/B is a discount-to-NAV; peer upside % is misleading | Illiquid — ~341 sessions to build a 5% stake,uptrend; ranging 0.49-0.71; -15% vs 52w high; RSI 41 (neutral),"Fondul Proprietatea SA trades at 0.77x book and 4.3x earnings, implying ~+151% vs its sector-median multiple (crude). Quality is strong (ROE 20%). Ownership is favourable (Widely held (closed-end fund)), so an activist stake could realistically press for capital return or change. Note: as a closed-end fund its book value is its NAV, so the P/B is a discount-to-NAV and the peer-implied upside overstates it; the real angle is closing that discount via buybacks. The chart is in a uptrend. It is relatively illiquid (~341 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
TLV.RO,Banca Transilvania S.A.,Financial Services,Romania,Widely held,2026-07-24,"8,890,983,692.38",4.01,0.07,High,2.8,5.0,,4.5,4.5,4.0,6.0%,2.01,9.54,n/a,4.10,3.0%,23.2%,41.7%,n/a,15.2%,n/a,-10.4%,3.00,Uptrend,65.15,no,"5,382,896.72",412.93,2026-08-21,-1.8%,60.7%,24.80,38.00,Illiquid — ~413 sessions to build a 5% stake,uptrend; ranging 24.80-38.00; -2% vs 52w high; RSI 65 (neutral),"Banca Transilvania S.A. trades at 2.01x book and 9.5x earnings, implying ~+6% vs its sector-median multiple (crude). Quality is strong (ROE 23%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend. It is relatively illiquid (~413 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
OTP.BD,OTP Bank Nyrt.,Financial Services,Hungary,Widely held,2026-07-24,"32,369,521,941.76",3.94,0.0,High,2.6,5.0,,2.5,4.5,5.0,-1.4%,2.11,10.44,n/a,3.97,2.5%,20.6%,38.4%,n/a,11.4%,n/a,13.2%,2.50,Uptrend,53.42,no,"44,212,209.69",183.03,2026-08-05,-1.9%,66.3%,"32,745.03","46,920.00",Illiquid — ~183 sessions to build a 5% stake,"uptrend; ranging 32,745.03-46,920.00; -2% vs 52w high; RSI 53 (neutral)","OTP Bank Nyrt. trades at 2.11x book and 10.4x earnings, implying ~-1% vs its sector-median multiple (crude). Quality is strong (ROE 21%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend. It is relatively illiquid (~183 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
BG.VI,BAWAG Group AG,Financial Services,Austria,Widely held,2026-07-24,"13,201,547,264.00",3.77,0.11,High,1.6,4.7,,4.0,4.5,5.0,-28.1%,2.81,14.65,n/a,6.35,3.6%,19.9%,45.0%,n/a,7.9%,n/a,-39.7%,1.50,Uptrend,35.76,no,"25,083,463.09",131.58,2026-10-19,-4.6%,64.2%,113.66,179.80,Illiquid — ~132 sessions to build a 5% stake,uptrend; ranging 113.66-179.80; -5% vs 52w high; RSI 36 (neutral),"BAWAG Group AG trades at 2.81x book and 14.6x earnings, implying ~-28% vs its sector-median multiple (crude). Quality is strong (ROE 20%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend. It is relatively illiquid (~132 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
MONET.PR,"MONETA Money Bank, a.s.",Financial Services,Czech Republic,Widely held,2026-07-24,"4,056,645,477.03",3.72,0.0,High,1.6,5.0,,3.0,4.5,5.0,-30.5%,3.04,14.65,n/a,7.12,6.0%,21.7%,49.0%,n/a,4.3%,n/a,48.6%,1.50,Uptrend,51.39,no,"2,320,095.20",437.12,2026-10-23,-5.4%,41.8%,170.30,202.98,Illiquid — ~437 sessions to build a 5% stake,uptrend; ranging 170.30-202.98; -5% vs 52w high; RSI 51 (neutral),"MONETA Money Bank, a.s. trades at 3.04x book and 14.6x earnings, implying ~-31% vs its sector-median multiple (crude). Quality is strong (ROE 22%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend. It is relatively illiquid (~437 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
EBS.VI,Erste Group Bank AG,Financial Services,Austria,Anchor shareholder,2026-07-24,"44,589,035,520.00",3.6,0.0,High,2.2,4.3,,4.5,4.5,3.5,-9.7%,1.91,13.40,n/a,3.72,0.7%,12.5%,30.4%,n/a,28.9%,n/a,-145.9%,2.00,Uptrend,54.25,no,"43,103,124.85",258.62,2026-07-30,-3.4%,47.8%,88.69,118.90,Illiquid — ~259 sessions to build a 5% stake,uptrend; ranging 88.69-118.90; -3% vs 52w high; RSI 54 (neutral),"Erste Group Bank AG trades at 1.91x book and 13.4x earnings, implying ~-10% vs its sector-median multiple (crude). Quality is modest (ROE 13%). Ownership is favourable (Anchor shareholder), so an activist stake could realistically press for capital return or change. The chart is in a uptrend. It is relatively illiquid (~259 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
ALE.WA,Allegro.eu S.A.,Consumer Cyclical,Luxembourg,Widely held,2026-07-24,"10,462,903,479.28",3.56,0.05,High,1.3,4.0,3.3,4.0,4.5,5.0,-21.5%,4.28,25.38,14.92,3.82,0.0%,17.7%,13.2%,0.54,11.7%,n/a,-7.5%,1.33,Uptrend,74.86,no,"87,150,874.39",30.01,2026-09-17,-0.9%,23.0%,25.73,45.08,,uptrend; ranging 25.73-45.08; -1% vs 52w high; RSI 75 (overbought),"Allegro.eu S.A. trades at 4.28x book and 25.4x earnings, implying ~-21% vs its sector-median multiple (crude). Quality is strong (ROE 18%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend but overbought (RSI 75) — wait for a pullback. It is relatively illiquid (~30 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
EUROB.AT,Eurobank S.A.,Financial Services,Greece,Anchor shareholder,2026-07-24,"15,900,868,608.00",3.5,0.06,High,2.6,4.3,,3.0,4.8,3.0,9.3%,1.47,11.94,n/a,5.16,2.7%,13.7%,44.8%,n/a,8.5%,n/a,11.4%,2.50,Uptrend,56.85,no,"34,207,256.73",116.21,2026-07-30,0.0%,44.9%,3.12,4.40,Illiquid — ~116 sessions to build a 5% stake,uptrend; breaking resistance ~4.40 on soft volume; +0% vs 52w high; RSI 57 (neutral),"Eurobank S.A. trades at 1.47x book and 11.9x earnings, implying ~+9% vs its sector-median multiple (crude). Quality is modest (ROE 14%). Ownership is favourable (Anchor shareholder), so an activist stake could realistically press for capital return or change. The chart is in a uptrend and breaking resistance on soft volume. It is relatively illiquid (~116 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
TPEIR.AT,Piraeus Bank S.A.,Financial Services,Greece,State fund + free float,2026-07-24,"11,913,585,664.00",3.46,0.0,High,3.2,4.3,,2.0,4.8,2.5,23.0%,1.25,11.27,n/a,4.75,4.2%,11.6%,42.6%,n/a,0.5%,n/a,-19.0%,3.50,Uptrend,65.02,no,"38,052,197.63",78.27,2026-07-29,0.0%,46.2%,6.63,9.47,Closed-end fund — P/B is a discount-to-NAV; peer upside % is misleading | Illiquid — ~78 sessions to build a 5% stake,uptrend; breaking resistance ~9.47 on soft volume; +0% vs 52w high; RSI 65 (neutral),"Piraeus Bank S.A. trades at 1.25x book and 11.3x earnings, implying ~+23% vs its sector-median multiple (crude). Quality is modest (ROE 12%). Ownership is favourable (State fund + free float), so an activist stake could realistically press for capital return or change. Note: as a closed-end fund its book value is its NAV, so the P/B is a discount-to-NAV and the peer-implied upside overstates it; the real angle is closing that discount via buybacks. The chart is in a uptrend and breaking resistance on soft volume. It is relatively illiquid (~78 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
KTY.WA,Grupa Kety S.A.,Basic Materials,Poland,Widely held,2026-07-24,"3,015,047,763.38",3.44,-0.1,High,1.6,4.0,3.0,3.0,4.2,5.0,-48.7%,6.03,22.09,13.63,2.37,3.7%,28.1%,10.7%,0.61,1.5%,3.6%,-9.5%,1.33,Uptrend,82.84,no,"6,032,914.33",124.94,2026-07-29,-0.8%,59.5%,896.00,"1,323.00",Illiquid — ~125 sessions to build a 5% stake,"uptrend; breaking resistance ~1,323.00 on soft volume; -1% vs 52w high; RSI 83 (overbought)","Grupa Kety S.A. trades at 6.03x book and 22.1x earnings, implying ~-49% vs its sector-median multiple (crude). Quality is strong (ROE 28%). Ownership is favourable (Widely held), so an activist stake could realistically press for capital return or change. The chart is in a uptrend but overbought (RSI 83) — wait for a pullback. It is relatively illiquid (~125 sessions to build 5%). [Rule-based summary — set ANTHROPIC_API_KEY for a full AI thesis.]"
